name,latitude_deg,longitude_deg
Keyhole Airport,44.348312,-104.8106
Ascension Seton Hays Heliport,30.007222,-97.853333
Meadowood Ranch Heliport,32.02019882,-95.74549866
Barefoot Airport,61.506147,-149.912825
Rustic Wilderness Airport,61.876907,-150.097626
Bass Field,30.37150002,-87.76439667
Three Rivers Airport,34.822445,-92.44442
Winchester Farm Airstrip,32.376401,-109.936996
Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978
Shannon Field,34.12960052,-90.52400208
Conover Air Lodge Airport,34.761101,-119.058998
Mc Cullough Airport,37.6432991,-106.0469971
Strangers Point Heliport,41.91960144,-72.44450378
Osborn Airfield,28.52669907,-81.87480164
Triple R Ranch Airport,30.950976,-86.635555
Cuchens Airport,30.642527,-86.118779
Doug Bolton Field,34.20259857,-83.42900085
Etowah Fields Airport,34.1753006,-84.92440033
K3 Helipad Heliport,21.35839,-157.94789
Boone County Hospital Heliport,42.05609894,-93.87799835
Morgan Ranch Airport,44.55550003,-115.3050003
King Ultralightport,40.06230164,-86.21050262
Diamond P. Field,40.20890045,-85.540802
Condell Medical Center Heliport,42.27460098,-87.95729828
Jmj Landing Airport,39.22219849,-96.05529785
St Claire Healthcare Heliport,38.181441,-83.443319
Boone National Guard Heliport,38.190282,-84.906442
Louisiana State Police Troop G Heliport,32.531491,-93.659939
Windy Hill Heliport,30.14830017,-91.91899872
Cuttyhunk Heliport,41.419601,-70.927002
Garner Field,38.672544,-76.709739
Nadeau's Airfield,43.537467,-70.930685
Fairplains Airpark,43.15710068,-85.14849854
Greenbush Municipal Airport,48.686527,-96.191976
Troy Airpark,39.04999924,-91.03350067
Watts Field,34.095701,-90.846131
Barrett Field,47.2374,-111.74304
Timber Line Airpark,36.655612,-93.802387
Race City Heliport,35.540477,-80.598047
Benes Service Airport,41.07450104,-96.90450287
Iroquois Landing Seaplane Base,44.65710068,-71.21910095
Penske Heliport,40.55730057,-74.46710205
McGee 02 Heliport,35.592197,-77.377372
Paiute Meadows Airport,41.299551,-118.926709
Hansen Heliport,43.13259888,-75.65550232
Zimmerman Airport,41.37639999,-83.08329773
Murtha Airport,41.80199814,-80.56539917
Canon Heliport,35.458401,-97.525297
War Veterans Colony Heliport,34.811412,-95.307727
Rowena Dell Airport,45.68149948,-121.3160019
Stottle Memorial Heliport,40.403596,-77.556602
Lag III Heliport,40.438301,-79.769997
Peco Berwyn Heliport,40.06959915,-75.4552002
Cuylers Airport,18.464924,-66.363773
Hughes Ultralightport,41.90063,-77.230025
Harpers Airport,32.760211,-81.225872
Wise River Airport,45.76910019,-112.9820023
Matagorda Shore Facility Heliport,28.722177,-95.875813
Baylor Medical Center Heliport,32.395401,-96.86419678
Ellis Field,35.780355,-86.585521
FWOMC Heliport,32.747601,-97.370003
The Palms At Kitty Hawk Airport,33.370403,-101.922882
Lucin Airport,41.369336,-113.841019
The Greenhouse Airport,38.43569946,-77.85720062
Northstar Aviation Heliport,36.63880157,-82.11669922
Cawleys South Prairie Airport,47.15230179,-122.0940018
Beer Airport,45.0318985,-92.65579987
Fowler Field,48.74580002,-119.3190002
JLS Farms Airport,33.591319,-95.882864
Seidel Ranch Airport,30.100941,-97.672607
Trapper T Heliport,61.556055,-149.284527
Joe Clouds Seaplane Base,60.72722244,-151.132782
Highland Medical Center Heliport,34.662604,-86.046774
Hscmh Heliport,34.35760117,-92.78849792
Thompson International Aviation Airport,31.430971,-110.088087
Grossmont Hospital Heliport,32.779484,-117.006952
Kugel-Strong Airport,40.211608,-104.744781
Lake Persimmon Airstrip,27.35309982,-81.40809631
Tharpe Airport,30.8288,-85.731003
Ranger Heliport,26.683716,-80.186561
HIA Airport,32.561626,-81.85509
Clarks Dream Strip,39.644199,-83.018204
East Field,41.581902,-92.461304
Flying Y Ranch Airport,44.793965,-116.531543
Davis Field Ultralightport,37.9620018,-87.77890015
Wix Airport,41.40230179,-87.8167038
Heinzman Airport,40.18000031,-86.01249695
OSF St Anthony's Health Center Heliport,38.904999,-90.173401
Valley Grain Heliport,39.86470032,-95.26409912
Flying H Farms Airport,37.796085,-87.53859
Damien Heliport,30.19960022,-91.12789917
Fmc Nr 1 Heliport,32.1590004,-91.70800018
Lakeside Marina Seaplane Base,44.32089996,-69.88950348
Hadley Airport,42.393431,-72.551553
Upper Chesapeake Medical Center Heliport,39.518427,-76.346022
Maple Ridge Airport,44.084251,-70.626905
Harold Miller Heliport,43.55089951,-83.86219788
Nauerth Land Ranch Airport,43.62519836,-95.22470093
Cahoochie Airport,37.884499,-93.131599
Vicksburg Medical Center Heliport,32.31880188,-90.8832016
Cascade Field,47.267327,-111.71748
McDonnell Airport,38.4925,-94.412498
Utirik Airport,11.222219,169.851429
Pilots Ridge Airport,34.10430145,-77.90419769
Olafson Brothers Airport,48.62639999,-97.82900238
Hyde Ranch Airport,41.54639816,-99.33119965
Lorden Heliport,42.81539917,-71.12439728
AT&T Heliport,40.668713,-74.410152
Miner's Colfax Medical Center Heliport,36.862377,-104.442853
Johnston Medical Center Heliport,35.63027,-78.50392
Llama Ranch Airport,40.58440018,-115.2979965
Talmage Field,40.958308,-72.717326
Gibbs Field,41.416933,-83.018339
"Cleveland Clinic, Marymount Hospital Heliport",41.420312,-81.599552
Sahoma Lake Airport,36.041259,-96.161517
Bluebird Airport,35.012334,-97.702735
Powwatka Ridge Airport,45.85540009,-117.4840012
Collegeville Heliport,40.16289902,-75.46569824
M.P. Metals Heliport,41.066861,-76.180806
Sun View Field Airport,39.065931,-94.938417
Ziggy's Field,40.849998,-77.905602
Sandy River Airport,45.40179825,-122.2289963
Seacoast Medical Center Heliport,33.86500168,-78.66190338
Gay Hill Farm Airport,30.262699,-96.500198
Barronena Ranch Airport,27.490812,-98.669615
Eagles Landing Heliport,35.92250061,-83.57939911
Shannon Medical Center Heliport,31.4658,-100.43397
Brazos Polo Airport,29.632117,-95.932481
M D K Field Heliport,29.580929,-95.30508
AZ Minerals Corporation Airport,37.114384,-109.99014
Whipoorwill Springs Airport,38.66460037,-77.57969666
Spangle Field,47.40819931,-117.3720016
Zink Airport,44.028873,-88.883945
Aerostone Ranch Airport,45.875,-120.6699982
Lopez Medical Clinic Heliport,48.524894,-122.912394
Del Sol Medical Center Heliport,31.7574,-106.346895
Creekside Airport,31.31809998,-100.7539978
Flying W Ranch Airport,60.535833,-150.811387
Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123
North 40 Airport,61.737511,-148.700724
Saline Memorial Hospital Heliport,34.574319,-92.586047
Chinle Airport,36.147197,-109.560771
Gray Butte Field,34.5639,-117.675003
Hunt's Sky Ranch Airport,33.08169937,-116.4410019
Shingle Mill Heliport,41.75510025,-73.05239868
De Leon Municipal Airport,32.098801,-98.525325
